#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
1.A.8.2.1-P18156	P18156	1.A.8.2.1	gnl|BL_ORD_ID|9303 gnl|TC-DB|P18156|1.A.8.2.1 GLYCEROL UPTAKE FACILITATOR PROTEIN - Bacillus subtilis.	274	0.0	100	274	274	1	274	1	274	99.6	99.6	7	7	7.0	MIP	CHEBI:5448;glycerol	PF00230	PF00230
1.A.11.1.9-Q8DSV1	Q8DSV1	1.A.11.1.9	gnl|BL_ORD_ID|16097 gnl|TC-DB|Q8DSV1|1.A.11.1.9 Ammonium transporter OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) OX=210007 GN=nrgA PE=3 SV=1	411	0.0	100	411	411	1	411	1	411	99.8	99.8	11	11	12.0	Amt	CHEBI:7435;ammonium	PF00909	PF00909
1.A.14.2.3-O31539	O31539	1.A.14.2.3	gnl|BL_ORD_ID|7084 gnl|TC-DB|O31539|1.A.14.2.3 Uncharacterized protein YetJ OS=Bacillus subtilis GN=yetJ PE=3 SV=1	214	7.6256e-148	100	214	214	1	214	1	214	99.5	99.5	7	7	7.45	CaTA	CHEBI:3308;calcium(2+)	PF01027	PF01027
1.A.16.2.2-Q5AST3	Q5AST3	1.A.16.2.2	gnl|BL_ORD_ID|14321 gnl|TC-DB|Q5AST3|1.A.16.2.2 Formate/nitrate family transporter (Eurofung) OS=Emericella nidulans (strain FGSC A4 / M139) GN=AN8647.2 PE=4 SV=1	310	0.0	100	310	310	1	310	1	310	99.7	99.7	6	6	6.7	FNT	CHEBI:71263;nitrate	PF01226	PF01226
1.A.16.3.5-F0PTD8	F0PTD8	1.A.16.3.5	gnl|BL_ORD_ID|4110 gnl|TC-DB|F0PTD8|1.A.16.3.5 Formate/nitrite transporter family protein OS=Bacillus thuringiensis subsp. finitimus (strain YBT-020) OX=930170 GN=YBT020_07190 PE=4 SV=1	283	0.0	100	283	283	1	283	1	283	99.6	99.6	6	6	6.65	FNT	CHEBI:15740;formate	PF01226	PF01226
1.A.17.1.13-A0CIB0	A0CIB0	1.A.17.1.13	gnl|BL_ORD_ID|49 gnl|TC-DB|A0CIB0|1.A.17.1.13 Chromosome undetermined scaffold_19, whole genome shotgun sequence OS=Paramecium tetraurelia GN=GSPATT00007662001 PE=4 SV=1	1371	0.0	100	1371	1371	1	1371	1	1371	99.9	99.9	7	7	7.7	CaClC	CHEBI:3731;chloride	PF04547	PF04547
1.A.17.3.12-W7XF35	W7XF35	1.A.17.3.12	gnl|BL_ORD_ID|20767 gnl|TC-DB|W7XF35|1.A.17.3.12 Transmembrane protein, putative OS=Tetrahymena thermophila (strain SB210) GN=TTHERM_000101449 PE=4 SV=1	995	0.0	100	995	995	1	995	1	995	99.9	99.9	8	8	9.85	CaClC	None	NA	NA
1.A.22.1.5-P68805	P68805	1.A.22.1.5	gnl|BL_ORD_ID|11292 gnl|TC-DB|P68805|1.A.22.1.5 Large-conductance mechanosensitive channel OS=Staphylococcus aureus (strain NCTC 8325) GN=mscL PE=3 SV=1	120	5.11977e-80	100	120	120	1	120	1	120	99.2	99.2	2	2	1.85	MscL	CHEBI:24870;ion	PF01741	PF01741
1.A.23.3.1-O34897	O34897	1.A.23.3.1	gnl|BL_ORD_ID|7185 gnl|TC-DB|O34897|1.A.23.3.1 YKUT PROTEIN - Bacillus subtilis.	267	0.0	100	267	267	1	267	1	267	99.6	99.6	2	2	2.25	MscS	CHEBI:25728;osmolyte	PF00924	PF00924
1.A.26.1.3-O34442	O34442	1.A.26.1.3	gnl|BL_ORD_ID|7160 gnl|TC-DB|O34442|1.A.26.1.3 Magnesium transporter MgtE OS=Bacillus subtilis (strain 168) GN=mgtE PE=3 SV=1	451	0.0	100	451	451	1	451	1	451	99.8	99.8	6	6	6.25	MgtE	CHEBI:6635;magnesium(2+)	PF01769,PF03448,PF00571,PF00571	PF01769,PF03448,PF00571,PF00571
