#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
WP_065543923.1	O28528	1.A.11.2.7	gnl|BL_ORD_ID|6993 gnl|TC-DB|O28528|1.A.11.2.7 Ammonium transporter (Amt-2) OS=Archaeoglobus fulgidus GN=AF_1746 PE=4 SV=1	433	2.62482e-120	46	583	468	7	421	37	456	71.0	89.5	12	12	9.2	Amt	CHEBI:7435;ammonium, CHEBI:35264;tetramethylammonium	PF00909,PF00543	PF00909
WP_065544461.1	Q186B7	1.A.16.3.3	gnl|BL_ORD_ID|12811 gnl|TC-DB|Q186B7|1.A.16.3.3 Putative formate/nitrite transporter OS=Clostridium difficile (strain 630) GN=CD630_22300 PE=1 SV=1	256	2.18487e-69	43	259	258	1	255	1	256	98.1	98.8	6	6	6.4	FNT	CHEBI:29919;hydrosulfide	PF01226	PF01226
WP_065541259.1	P0C0S1	1.A.23.2.1	gnl|BL_ORD_ID|8876 gnl|TC-DB|P0C0S1|1.A.23.2.1 Small-conductance mechanosensitive channel - Escherichia coli.	255	2.03878e-48	32	295	286	27	281	26	278	86.1	88.1	3	4	2.85	MscS	CHEBI:24870;ion	PF00924	PF00924,PF05552
WP_065543691.1	O34442	1.A.26.1.3	gnl|BL_ORD_ID|7133 gnl|TC-DB|O34442|1.A.26.1.3 Magnesium transporter MgtE OS=Bacillus subtilis (strain 168) GN=mgtE PE=3 SV=1	453	2.52504e-60	29	470	451	12	459	4	444	95.1	97.6	4	6	3.35	MgtE	CHEBI:6635;magnesium(2+)	PF01769,PF00571,PF00571,PF03448	PF01769,PF03448,PF00571,PF00571
WP_065541169.1	Q18B63	1.A.34.1.4	gnl|BL_ORD_ID|12818 gnl|TC-DB|Q18B63|1.A.34.1.4 Stage III sporulation protein AH OS=Peptoclostridium difficile (strain 630) GN=spoIIIAH PE=4 SV=1	251	4.54449e-18	24	261	229	1	251	1	223	95.8	96.9	1	1	0.85	GJ-CC	None	PF12685	PF12685
WP_065543878.1	G6BHQ4	1.A.34.1.4	gnl|BL_ORD_ID|4788 gnl|TC-DB|G6BHQ4|1.A.34.1.4 Peptidase, M23 family OS=Clostridioides difficile 050-P50-2011 GN=HMPREF1123_01536 PE=4 SV=1	204	1.58859e-09	23	269	222	66	268	33	221	75.1	84.7	1	1	0.0	GJ-CC	None	PF01551	PF01551
WP_065542649.1	Q58439	1.A.35.3.1	gnl|BL_ORD_ID|14215 gnl|TC-DB|Q58439|1.A.35.3.1 PUTATIVE MAGNESIUM AND COBALT TRANSPORT PROTEIN CORA - Methanococcus jannaschii.	296	1.50264e-37	30	313	317	23	309	30	313	91.4	89.3	3	3	1.6	MIT	CHEBI:3308;calcium(2+), CHEBI:6635;magnesium(2+), CHEBI:25517;nickel(2+)	PF01544	PF01544
WP_157766946.1	O31543	1.A.35.3.3	gnl|BL_ORD_ID|7059 gnl|TC-DB|O31543|1.A.35.3.3 Putative metal ion transporter YfjQ OS=Bacillus subtilis (strain 168) GN=yfjQ PE=3 SV=1	297	5.8821e-25	28	306	319	37	306	35	316	87.9	88.1	2	2	0.85	MIT	CHEBI:25213;metal cation	PF01544	PF01544
WP_065544180.1	K8DX14	1.A.54.5.1	gnl|BL_ORD_ID|5658 gnl|TC-DB|K8DX14|1.A.54.5.1 Peptidase A24A prepilin type IV OS=Desulfotomaculum hydrothermale Lam5 = DSM 18033 GN=DESHY_10189 PE=4 SV=1	108	2.36502e-10	33	169	167	15	122	14	121	63.3	64.1	6	5	3.0	Presenilin	CHEBI:3473;cation	PF01478	PF01478
WP_065544164.1	A0M015	1.A.62.2.1	gnl|BL_ORD_ID|82 gnl|TC-DB|A0M015|1.A.62.2.1 Membrane protein, UPF0126 OS=Gramella forsetii (strain KT0803) GN=GFO_0986 PE=4 SV=1	193	7.93955e-35	37	212	215	7	199	11	190	90.6	83.3	7	7	4.05	TRIC	CHEBI:24870;ion, CHEBI:3473;cation, CHEBI:25212;metabolite	PF03458,PF03458	PF03458,PF03458
