#Query_id,Hit_xid,Hit_tcid,Hit_desc,Match_length,e-value,%_identity,Query_Length,Hit_Length,Q_start,Q_end,S_start,S_end,Query_Coverage,Hit_Coverage,Query_n_TMS,Hit_n_TMS,TM_Overlap_Score,Family_Abrv,Predicted_Substrate,Query_Pfam,Subject_Pfam
WP_012541359.1,Q1D027,1.A.1.24.3,"gnl|BL_ORD_ID|12884 gnl|TC-DB|Q1D027|1.A.1.24.3 Transporter, cation channel family OS=Myxococcus xanthus (strain DK 1622) GN=MXAN_5859 PE=4 SV=1",272,7.63395e-62,40,275,275,6,273,14,275,97.1,94.9,4,5,4.0,VIC,CHEBI:8345;potassium(1+),"PF00520,PF07885,PF08016","PF00520,PF07885"
WP_012967047.1,P0AER0,1.A.8.1.1,gnl|BL_ORD_ID|8789 gnl|TC-DB|P0AER0|1.A.8.1.1 Glycerol uptake facilitator protein - Escherichia coli.,283,0.0,88,283,281,1,283,1,281,99.6,99.6,6,6,6.0,MIP,"CHEBI:2846;arsenite(3-), CHEBI:26191;polyol, CHEBI:5448;glycerol",PF00230,PF00230
WP_012540678.1,P0AER0,1.A.8.1.1,gnl|BL_ORD_ID|8789 gnl|TC-DB|P0AER0|1.A.8.1.1 Glycerol uptake facilitator protein - Escherichia coli.,266,8.73957e-138,68,269,281,4,268,6,271,98.1,94.3,6,6,6.0,MIP,"CHEBI:2846;arsenite(3-), CHEBI:26191;polyol, CHEBI:5448;glycerol",PF00230,PF00230
WP_002896434.1,P60844,1.A.8.3.1,gnl|BL_ORD_ID|11132 gnl|TC-DB|P60844|1.A.8.3.1 Aquaporin Z - Escherichia coli.,231,8.425920000000001e-158,90,231,231,1,231,1,231,99.6,99.6,6,6,6.0,MIP,CHEBI:5585;water,PF00230,PF00230
WP_012542680.1,P69681,1.A.11.1.1,gnl|BL_ORD_ID|11268 gnl|TC-DB|P69681|1.A.11.1.1 Ammonia channel - Escherichia coli.,428,0.0,89,428,428,1,428,1,428,99.8,99.8,12,12,12.0,Amt,"CHEBI:49783;ammonium, CHEBI:7434;ammonia",PF00909,PF00909
WP_023287352.1,Q8F2Y8,1.A.12.2.2,gnl|BL_ORD_ID|16131 gnl|TC-DB|Q8F2Y8|1.A.12.2.2 Glutathione transferase OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=gst PE=1 SV=1,110,3.77068e-06,27,201,218,1,110,2,109,54.2,49.1,1,1,0.0,CLIC,CHEBI:3731;chloride,"PF13417,PF13409,PF02798","PF13417,PF02798,PF13409"
WP_072124760.1,Q8F2Y8,1.A.12.2.2,gnl|BL_ORD_ID|16131 gnl|TC-DB|Q8F2Y8|1.A.12.2.2 Glutathione transferase OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=gst PE=1 SV=1,145,7.21389e-06,26,204,218,20,162,22,160,69.6,63.3,1,1,1.0,CLIC,CHEBI:3731;chloride,"PF00043,PF13410,PF14497,PF02798,PF13417","PF13417,PF02798,PF13409"
WP_008804865.1,A1ACJ3,1.A.13.5.1,gnl|BL_ORD_ID|135 gnl|TC-DB|A1ACJ3|1.A.13.5.1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC GN=APECO1_1077 PE=4 SV=1,242,1.20526e-62,41,251,252,4,244,9,247,95.6,94.4,2,3,1.0,E-ClC,,PF07090,PF07090
WP_002898458.1,P0AAC6,1.A.14.2.1,gnl|BL_ORD_ID|8653 gnl|TC-DB|P0AAC6|1.A.14.2.1 Inner membrane protein yccA - Escherichia coli.,219,1.24216e-144,95,219,219,1,219,1,219,99.5,99.5,7,7,7.0,CaTA,,PF01027,PF01027
WP_004142079.1,P0AAC4,1.A.14.2.2,gnl|BL_ORD_ID|8652 gnl|TC-DB|P0AAC4|1.A.14.2.2 Inner membrane protein ybhL - Escherichia coli.,234,2.91846e-139,84,234,234,1,234,1,234,99.6,99.6,7,7,7.0,CaTA,CHEBI:13704;acetate,PF01027,PF01027
WP_008805853.1,P0AC23,1.A.16.1.1,gnl|BL_ORD_ID|8729 gnl|TC-DB|P0AC23|1.A.16.1.1 Probable formate transporter 1 - Escherichia coli.,285,0.0,94,285,285,1,285,1,285,99.6,99.6,6,6,6.0,FNT,,PF01226,PF01226
WP_008803900.1,P37327,1.A.16.4.1,gnl|BL_ORD_ID|10092 gnl|TC-DB|P37327|1.A.16.4.1 Inner membrane protein yfdC OS=Escherichia coli (strain K12) GN=yfdC PE=1 SV=1,302,0.0,82,309,310,4,305,1,301,97.4,96.8,6,6,6.0,FNT,"CHEBI:22563;anion, CHEBI:35195;surfactant",PF01226,PF01226
WP_008806979.1,Q54D51,1.A.17.5.14,gnl|BL_ORD_ID|14030 gnl|TC-DB|Q54D51|1.A.17.5.14 Uncharacterized protein OS=Dictyostelium discoideum GN=DDB0184423 PE=4 SV=1,86,1.50629e-09,40,106,1267,21,98,1027,1109,72.6,6.5,1,13,0.0,CaClC,,PF10956,
WP_004145325.1,P0A742,1.A.22.1.1,gnl|BL_ORD_ID|8609 gnl|TC-DB|P0A742|1.A.22.1.1 Large-conductance mechanosensitive channel - Escherichia coli.,137,2.37874e-86,93,137,136,1,137,1,136,99.3,99.3,2,2,2.0,MscL,"CHEBI:24870;ion, CHEBI:25728;osmolyte",PF01741,PF01741
WP_012542666.1,P77338,1.A.23.1.1,gnl|BL_ORD_ID|11505 gnl|TC-DB|P77338|1.A.23.1.1 POTASSIUM EFFLUX SYSTEM KEFA (AEFA PROTEIN) - Escherichia coli.,1102,0.0,85,1115,1120,10,1111,17,1117,98.7,98.2,11,11,11.0,MscS,"CHEBI:24870;ion, CHEBI:3731;chloride, CHEBI:8345;potassium(1+), CHEBI:5585;water","PF12794,PF12795,PF00924","PF12794,PF12795,PF00924"
WP_022064597.1,P39285,1.A.23.1.3,gnl|BL_ORD_ID|10253 gnl|TC-DB|P39285|1.A.23.1.3 Uncharacterized mscS family protein yjeP OS=Escherichia coli (strain K12) GN=yjeP PE=3 SV=3,1109,0.0,86,1109,1107,1,1109,1,1107,99.9,99.9,11,13,11.0,MscS,"CHEBI:24870;ion, CHEBI:25367;molecule","PF12794,PF00924,PF12795","PF12794,PF00924,PF12795"
WP_194831222.1,M4V7W7,1.A.23.1.4,gnl|BL_ORD_ID|6369 gnl|TC-DB|M4V7W7|1.A.23.1.4 Uncharacterized protein OS=Bdellovibrio exovorus JSS GN=A11Q_300 PE=4 SV=1,324,3.95951e-65,35,538,571,201,523,222,545,59.9,56.6,6,6,5.0,MscS,,PF00924,PF00924
WP_100781233.1,P0C0S1,1.A.23.2.1,gnl|BL_ORD_ID|8876 gnl|TC-DB|P0C0S1|1.A.23.2.1 Small-conductance mechanosensitive channel - Escherichia coli.,282,8.92035e-171,84,285,286,1,282,1,282,98.6,98.3,4,4,3.0,MscS,CHEBI:24870;ion,"PF00924,PF05552","PF00924,PF05552"
WP_012542377.1,P75783,1.A.23.3.2,gnl|BL_ORD_ID|11407 gnl|TC-DB|P75783|1.A.23.3.2 Uncharacterized mscS family protein ybiO OS=Escherichia coli (strain K12) GN=ybiO PE=3 SV=2,728,0.0,80,731,741,1,725,1,728,99.0,98.1,10,10,10.0,MscS,"CHEBI:3616;chloride, CHEBI:9175;sodium(1+), CHEBI:25367;molecule",PF00924,PF00924
WP_004202471.1,P0AAT4,1.A.23.4.5,gnl|BL_ORD_ID|8685 gnl|TC-DB|P0AAT4|1.A.23.4.5 Miniconductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscM PE=1 SV=1,415,0.0,83,414,415,1,414,1,415,99.8,99.8,4,4,4.0,MscS,"CHEBI:24870;ion, CHEBI:25367;molecule",PF00924,PF00924
WP_223168418.1,P0AAT4,1.A.23.4.5,gnl|BL_ORD_ID|8685 gnl|TC-DB|P0AAT4|1.A.23.4.5 Miniconductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscM PE=1 SV=1,293,5.86305e-71,40,304,415,1,289,118,410,94.7,70.4,2,4,1.0,MscS,"CHEBI:24870;ion, CHEBI:25367;molecule",PF00924,PF00924
WP_153690825.1,Q52398,1.A.26.1.4,gnl|BL_ORD_ID|13956 gnl|TC-DB|Q52398|1.A.26.1.4 MGTE PROTEIN - Providencia stuartii.,316,1.43169e-121,59,337,356,17,331,35,349,93.2,88.2,5,4,4.0,MgtE,"CHEBI:6635;magnesium(2+), CHEBI:23337;cobalt(2+)",PF01769,"PF01769,PF00571"
