<<<<<<< Updated upstream
Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components
1.A.17.5.14	Q54D51	WP_008806979.1	86.0	1.50629e-09	40.0	106.0	1267.0	21.0	98.0	1027.0	1109.0	72.6	6.5	1.0	13.0	0.0	CaClC	None	PF10956	NA	NA	NA
1.A.75.1.10	A0D620	WP_071599441.1	151.0	1.42251e-11	31.0	320.0	2470.0	113.0	263.0	1234.0	1374.0	46.9	5.7	1.0	28.0	0.0	Piezo	None	PF05036	PF12166	NA	NA
1.B.33.1.3	P0A943	WP_008807351.1	812.0	0.0	91.0	809.0	810.0	1.0	809.0	1.0	810.0	99.9	99.9	1.0	1.0	1.0	OmpIP	CHEBI:8526;protein polypeptide chain	PF01103,PF07244,PF07244,PF07244,PF07244	PF01103,PF07244,PF07244,PF07244,PF07244	NA	NA
1.B.33.1.3	P0A943	WP_032731696.1	820.0	0.0	61.0	807.0	810.0	1.0	807.0	1.0	810.0	99.9	99.9	1.0	1.0	1.0	OmpIP	CHEBI:8526;protein polypeptide chain	PF01103,PF07244,PF07244,PF07244	PF01103,PF07244,PF07244,PF07244,PF07244	NA	NA
1.B.33.1.3	P77774	WP_008803807.1	392.0	0.0	89.0	392.0	392.0	1.0	392.0	1.0	392.0	99.7	99.7	1.0	1.0	1.0	OmpIP	CHEBI:8526;protein polypeptide chain	PF13360,PF13360,PF13570,PF13570,PF13570,PF01011,PF01011,PF01011,PF01011	PF13360,PF13360,PF13360,PF01011,PF01011,PF01011,PF01011,PF01011,PF13570,PF13570,PF13570	NA	NA
1.B.33.1.3	P0AC02	WP_004145664.1	245.0	2.14298e-167	92.0	245.0	245.0	1.0	245.0	1.0	245.0	99.6	99.6	1.0	1.0	1.0	OmpIP	CHEBI:8526;protein polypeptide chain	PF13525,PF13512	PF13525,PF13512	NA	NA
1.B.33.1.3	P0A937	WP_008806098.1	111.0	2.22028e-73	93.0	113.0	113.0	1.0	111.0	1.0	111.0	97.3	97.3	1.0	1.0	1.0	OmpIP	CHEBI:8526;protein polypeptide chain	PF04355	PF04355	NA	NA
1.B.33.1.3	P0A903	NA	344.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
1.B.40.1.7	CAH35630	WP_023296901.1	305.0	2.60563e-05	24.0	365.0	1124.0	54.0	357.0	377.0	655.0	83.0	24.7	1.0	1.0	0.0	AT-2	None	PF00419	PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05658,PF05662,PF05662,PF05662,PF05662,PF03895,PF13018	NA	NA
1.B.42.1.2	P31554	WP_008807471.1	786.0	0.0	82.0	782.0	784.0	1.0	782.0	1.0	784.0	99.9	99.9	1.0	1.0	1.0	LPS-EP	CHEBI:6494;lipopolysaccharide	PF04453,PF03968	PF04453,PF03968	NA	NA
