Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components	Initial_decision
1.A.8.13.4	WP_062123083	WP_013263951.1	227.0	1.38146e-55	44.0	235.0	222.0	1.0	226.0	1.0	213.0	95.7	95.5	6.0	6.0	6.0	MIP	CHEBI:5586;hydrogen peroxide, CHEBI:5585;water	PF00230	PF00230	NA	NA	green
1.A.14.2.2	P0AAC4	WP_081439545.1	215.0	6.05391e-59	47.0	242.0	234.0	29.0	241.0	21.0	234.0	87.6	91.0	7.0	7.0	7.0	CaTA	CHEBI:13704;acetate	PF01027	PF01027	NA	NA	green
1.A.22.1.1	P0A742	WP_013264510.1	140.0	4.70899e-48	58.0	141.0	136.0	4.0	141.0	3.0	132.0	97.2	94.9	2.0	2.0	2.0	MscL	CHEBI:24870;ion, CHEBI:25728;osmolyte	PF01741	PF01741	NA	NA	green
1.A.23.1.5	WP_133133036	WP_013264233.1	819.0	1.49314e-19	21.0	787.0	952.0	24.0	787.0	162.0	942.0	97.0	81.9	13.0	10.0	10.0	MscS	CHEBI:24870;ion	PF00924	PF00924	NA	NA	green
1.A.23.4.5	P0AAT4	WP_013264102.1	382.0	8.151379999999999e-58	32.0	401.0	415.0	41.0	399.0	23.0	401.0	89.3	91.1	6.0	4.0	3.0	MscS	CHEBI:24870;ion, CHEBI:25367;molecule	PF00924	PF00924	NA	NA	green
1.A.30.2.9	Q8F191	WP_013265174.1	85.0	1.17938e-05	28.0	181.0	139.0	2.0	86.0	1.0	81.0	46.4	57.6	1.0	1.0	1.0	Mot/Exb	CHEBI:5584;hydron	PF02472	PF02472	NA	NA	Green
1.A.30.2.9	Q8F192	WP_013265262.1	186.0	1.82202e-20	29.0	277.0	270.0	84.0	268.0	79.0	264.0	66.4	68.5	3.0	4.0	3.0	Mot/Exb	CHEBI:5584;hydron	PF01618	PF01618	NA	NA	green
1.A.30.3.2	Q84FB6	NA	176.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
1.A.30.3.2	Q84FB8	WP_013264978.1	205.0	1.21044e-19	33.0	279.0	245.0	74.0	274.0	40.0	228.0	71.7	76.7	4.0	3.0	3.0	Mot/Exb	CHEBI:5584;hydron	PF01618	PF01618	NA	['Q84FB6']	Yellow
1.A.35.3.4	A3CLT2	WP_013264654.1	296.0	7.91349e-22	24.0	308.0	302.0	22.0	304.0	13.0	293.0	91.6	92.7	3.0	3.0	3.0	MIT	CHEBI:6635;magnesium(2+)	PF01544	PF01544	NA	NA	Green
